participant_id,statement_id,vote_value
012Q2VQhLbkaBV69AXhDw7-963,sg65kxvf1t2tala7-7,AGREE
012Q2VQhLbkaBV69AXhDw7-963,sq0oxfq8myx444nl-117,AGREE
012Q2VQhLbkaBV69AXhDw7-963,t1ghr09skdgigatj-68,AGREE
012Q2VQhLbkaBV69AXhDw7-963,tj1gm25len606n9r-226,AGREE
012Q2VQhLbkaBV69AXhDw7-963,unlpaih0p4e05qmk-769,PASS
012Q2VQhLbkaBV69AXhDw7-963,uug95rlrdihsa7he-494,PASS
012Q2VQhLbkaBV69AXhDw7-963,w5wfcpkjcslqc3c5-196,PASS
012Q2VQhLbkaBV69AXhDw7-963,wkshy8nbiquwrxze-684,AGREE
012Q2VQhLbkaBV69AXhDw7-963,x7eedtjvzhwjr64d-17,DISAGREE
012Q2VQhLbkaBV69AXhDw7-963,x7n89ltajw2536zx-738,AGREE
012Q2VQhLbkaBV69AXhDw7-963,xvhagkc4lorxdtg5-519,AGREE
012Q2VQhLbkaBV69AXhDw7-963,y4x41dntcagrp2u4-307,PASS
012Q2VQhLbkaBV69AXhDw7-963,yjxrpj1epkyrybov-188,AGREE
012Q2VQhLbkaBV69AXhDw7-963,yxdw2zcfzw0ldalm-314,AGREE
012Q2VQhLbkaBV69AXhDw7-963,z15bcw790pdw5py6-118,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,085rntdr5xyfc4kl-509,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,0dk0get8t63j3r30-131,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,2853uy8u118qqvae-859,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,2bc2nnuvy8n1utox-229,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,3c9xqym52xg8p6be-235,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,3jczucqmrunjdu0i-463,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,41ibljh75lxo6qji-4,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,45bg34iq7zj3sweb-565,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,4abufwbucjg8vuaz-826,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,4wsqt26q3xlrfcd6-198,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,5935a0l7253j2d54-20,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,7e8g8jdp0lvsnujz-24,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,7oq2zdo74v1qx8er-695,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,961j88qeoz0kz4z7-717,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,a7tz0yncxll4zklo-29,DISAGREE
0256uYOXGqeqlOYyfuJiXS-1091,c9h42m44gv3z6bz8-492,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,cj4t0sekkbp2qd6v-216,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,cvs4f8cgvyie6ivw-14,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,dhgzz0jkibu4fmpk-513,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,fel6246hid25owf7-19,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,glh62c9t199dxj37-491,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,h2m5zja8dzr1yxr2-66,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,i9g5dzx5qjicjdan-504,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,i9nb74x2ek3zezqa-213,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,j49itn7s55j2o7s3-109,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,jegqtoamdvlnknd6-317,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,pvs7hzioykl1cq99-15,PASS
0256uYOXGqeqlOYyfuJiXS-1091,qvindh4spfdrwb2s-831,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,ro8bnp84dyt9moge-149,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,rrpzlk3e4xyf9igf-372,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,udktmonrvbjfvyb6-554,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,ujv6oh9sdbdw2pcn-5,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,vdz4x1zhqimqodpx-172,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,wnnhj7xvg0fn9xuy-3,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,x7eedtjvzhwjr64d-17,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,xaji0y6dpbhsahxt-0,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,xvhagkc4lorxdtg5-519,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,xyvgiui9kkhzlm72-257,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,yjxrpj1epkyrybov-188,AGREE
0256uYOXGqeqlOYyfuJiXS-1091,yt8qzpky32orwixz-356,AGREE
0294AfXtDm60dqD0HNji4s-77,1n13jcat9mx2x18h-49,AGREE
0294AfXtDm60dqD0HNji4s-77,3t60rjiw1swjckjl-39,AGREE
0294AfXtDm60dqD0HNji4s-77,53lc58drc11ertj5-8,DISAGREE
0294AfXtDm60dqD0HNji4s-77,5935a0l7253j2d54-20,AGREE
0294AfXtDm60dqD0HNji4s-77,7e8g8jdp0lvsnujz-24,AGREE
0294AfXtDm60dqD0HNji4s-77,9kwv08hhxfgcaqvk-74,AGREE
0294AfXtDm60dqD0HNji4s-77,9t84azytjxepq85j-6,AGREE
0294AfXtDm60dqD0HNji4s-77,a7tz0yncxll4zklo-29,AGREE
0294AfXtDm60dqD0HNji4s-77,afeyuhz1gv0e38da-52,AGREE
0294AfXtDm60dqD0HNji4s-77,cvs4f8cgvyie6ivw-14,AGREE
0294AfXtDm60dqD0HNji4s-77,cwi64ciyhe7ur23g-10,AGREE
0294AfXtDm60dqD0HNji4s-77,dppq0y9dom5igqpk-11,AGREE
0294AfXtDm60dqD0HNji4s-77,e9vifttd96qe3rzs-108,AGREE
0294AfXtDm60dqD0HNji4s-77,fel6246hid25owf7-19,AGREE
0294AfXtDm60dqD0HNji4s-77,g8sbi4q2y9v86wzs-35,AGREE
0294AfXtDm60dqD0HNji4s-77,hv3a3zmf8mdd4v30-1,AGREE
0294AfXtDm60dqD0HNji4s-77,i3qk2iagl58kxo9t-23,AGREE
0294AfXtDm60dqD0HNji4s-77,i7p5tb94874frhoc-12,AGREE
0294AfXtDm60dqD0HNji4s-77,ir4cowgzrixa11dp-32,AGREE
0294AfXtDm60dqD0HNji4s-77,ly8ozcywd14ve92m-54,AGREE
0294AfXtDm60dqD0HNji4s-77,okep7y6wktakpuxq-30,AGREE
0294AfXtDm60dqD0HNji4s-77,phr62gdswm31yiha-31,AGREE
0294AfXtDm60dqD0HNji4s-77,pht0hl9xpseimvih-9,AGREE
0294AfXtDm60dqD0HNji4s-77,pvs7hzioykl1cq99-15,AGREE
0294AfXtDm60dqD0HNji4s-77,rdmly4lyk83tqll8-81,AGREE
0294AfXtDm60dqD0HNji4s-77,sg65kxvf1t2tala7-7,AGREE
0294AfXtDm60dqD0HNji4s-77,t9nt3w5uzbikcidk-2,AGREE
0294AfXtDm60dqD0HNji4s-77,teiyzcotohp6vz41-43,AGREE
0294AfXtDm60dqD0HNji4s-77,trp0j43d5iqvnb4g-61,AGREE
0294AfXtDm60dqD0HNji4s-77,x7eedtjvzhwjr64d-17,AGREE
02x4dNAvkDDoLYctDDXUwE-850,085rntdr5xyfc4kl-509,AGREE
02x4dNAvkDDoLYctDDXUwE-850,1n13jcat9mx2x18h-49,AGREE
02x4dNAvkDDoLYctDDXUwE-850,4abufwbucjg8vuaz-826,AGREE
02x4dNAvkDDoLYctDDXUwE-850,5935a0l7253j2d54-20,DISAGREE
02x4dNAvkDDoLYctDDXUwE-850,6qdy4lmct64z7w2s-233,DISAGREE
02x4dNAvkDDoLYctDDXUwE-850,6ys445gdej31gymd-579,AGREE
02x4dNAvkDDoLYctDDXUwE-850,7n8la100qxmcthph-419,AGREE
02x4dNAvkDDoLYctDDXUwE-850,94sz2kuuoyc3rwqm-886,AGREE
02x4dNAvkDDoLYctDDXUwE-850,a7tz0yncxll4zklo-29,AGREE
02x4dNAvkDDoLYctDDXUwE-850,ahulwjtiqwnrhzn4-882,AGREE
02x4dNAvkDDoLYctDDXUwE-850,b2knftu2gc5wi6fq-121,DISAGREE
02x4dNAvkDDoLYctDDXUwE-850,cgdc5tao1cjfx5li-900,AGREE
02x4dNAvkDDoLYctDDXUwE-850,cnbh6nqqb9lzs34j-807,AGREE
02x4dNAvkDDoLYctDDXUwE-850,cw9yil8sa3idy3c7-860,AGREE
02x4dNAvkDDoLYctDDXUwE-850,d7yxw1tbrwr965r9-870,AGREE
02x4dNAvkDDoLYctDDXUwE-850,f0onjpi163yk03o4-914,AGREE
02x4dNAvkDDoLYctDDXUwE-850,ffcxhgnzei3zrrhf-810,AGREE
02x4dNAvkDDoLYctDDXUwE-850,kcd0rlexdw6lqwlv-765,DISAGREE
02x4dNAvkDDoLYctDDXUwE-850,ktlzkj49yd82795e-410,DISAGREE
02x4dNAvkDDoLYctDDXUwE-850,mu7jae58huxg2myr-889,AGREE
02x4dNAvkDDoLYctDDXUwE-850,pvs7hzioykl1cq99-15,AGREE
02x4dNAvkDDoLYctDDXUwE-850,t1ghr09skdgigatj-68,AGREE
02x4dNAvkDDoLYctDDXUwE-850,tgxnx4sn6sm5rrvs-809,AGREE
02x4dNAvkDDoLYctDDXUwE-850,unlpaih0p4e05qmk-769,AGREE
02x4dNAvkDDoLYctDDXUwE-850,x7eedtjvzhwjr64d-17,DISAGREE
02x4dNAvkDDoLYctDDXUwE-850,xkdq95g3v23gxj0m-827,AGREE
02x4dNAvkDDoLYctDDXUwE-850,xmxb9yo18pajssuu-361,AGREE
02x4dNAvkDDoLYctDDXUwE-850,y620n8tteavt8k06-757,AGREE
02x4dNAvkDDoLYctDDXUwE-850,yjxrpj1epkyrybov-188,AGREE
02YrTnOFOMH0RINzEAtMnP-338,1b0z3nx39rbsv55p-116,AGREE
02YrTnOFOMH0RINzEAtMnP-338,1n13jcat9mx2x18h-49,AGREE
02YrTnOFOMH0RINzEAtMnP-338,2bc2nnuvy8n1utox-229,AGREE
02YrTnOFOMH0RINzEAtMnP-338,4ivsolmlgses6m03-194,AGREE
02YrTnOFOMH0RINzEAtMnP-338,4n89qkns832ejx5t-211,AGREE
02YrTnOFOMH0RINzEAtMnP-338,53lc58drc11ertj5-8,DISAGREE
02YrTnOFOMH0RINzEAtMnP-338,5935a0l7253j2d54-20,AGREE
02YrTnOFOMH0RINzEAtMnP-338,7fxzv4u3bbxux1ox-238,AGREE
02YrTnOFOMH0RINzEAtMnP-338,8riec4d145bm1enf-208,AGREE
02YrTnOFOMH0RINzEAtMnP-338,9t84azytjxepq85j-6,AGREE
02YrTnOFOMH0RINzEAtMnP-338,a7tz0yncxll4zklo-29,AGREE
02YrTnOFOMH0RINzEAtMnP-338,asnwywrratatj9a3-305,AGREE
02YrTnOFOMH0RINzEAtMnP-338,b0oih5csk30lvylk-284,AGREE
02YrTnOFOMH0RINzEAtMnP-338,ba75uuzpeal2w37d-191,AGREE
02YrTnOFOMH0RINzEAtMnP-338,cdyk0x65mufm8zov-206,AGREE
02YrTnOFOMH0RINzEAtMnP-338,cvs4f8cgvyie6ivw-14,AGREE
02YrTnOFOMH0RINzEAtMnP-338,fl0ukeyz7srcbplj-79,AGREE
02YrTnOFOMH0RINzEAtMnP-338,hv3a3zmf8mdd4v30-1,DISAGREE
02YrTnOFOMH0RINzEAtMnP-338,imj70e3p15ahdbvz-283,AGREE
02YrTnOFOMH0RINzEAtMnP-338,ir4cowgzrixa11dp-32,DISAGREE
02YrTnOFOMH0RINzEAtMnP-338,k9tr74qgefqjg02u-269,AGREE
02YrTnOFOMH0RINzEAtMnP-338,l8a78e9rivh6t1nt-295,DISAGREE
02YrTnOFOMH0RINzEAtMnP-338,ly8ozcywd14ve92m-54,AGREE
02YrTnOFOMH0RINzEAtMnP-338,qzcuctsuflsehuds-278,AGREE
02YrTnOFOMH0RINzEAtMnP-338,rdmly4lyk83tqll8-81,AGREE
02YrTnOFOMH0RINzEAtMnP-338,upfln4rxyj38xrg2-299,AGREE
02YrTnOFOMH0RINzEAtMnP-338,vgww4fyb8dalfyo1-253,AGREE
02YrTnOFOMH0RINzEAtMnP-338,x7eedtjvzhwjr64d-17,AGREE
02YrTnOFOMH0RINzEAtMnP-338,xaji0y6dpbhsahxt-0,AGREE
031MCsTCEKnN37VA8AgP3x-451,0dk0get8t63j3r30-131,AGREE
031MCsTCEKnN37VA8AgP3x-451,0s0r2sds8b25sq8c-170,AGREE
031MCsTCEKnN37VA8AgP3x-451,15z8vmuhxid4n1u3-183,AGREE
031MCsTCEKnN37VA8AgP3x-451,1g463sdygfliji18-274,AGREE
031MCsTCEKnN37VA8AgP3x-451,3ifhv1xg1r11q7uw-195,AGREE
031MCsTCEKnN37VA8AgP3x-451,3t60rjiw1swjckjl-39,AGREE
031MCsTCEKnN37VA8AgP3x-451,41ibljh75lxo6qji-4,AGREE
031MCsTCEKnN37VA8AgP3x-451,493wxa73jgzlma5u-186,AGREE
031MCsTCEKnN37VA8AgP3x-451,4ivsolmlgses6m03-194,AGREE
031MCsTCEKnN37VA8AgP3x-451,4n89qkns832ejx5t-211,AGREE
031MCsTCEKnN37VA8AgP3x-451,4wsqt26q3xlrfcd6-198,AGREE
031MCsTCEKnN37VA8AgP3x-451,53lc58drc11ertj5-8,AGREE
031MCsTCEKnN37VA8AgP3x-451,5935a0l7253j2d54-20,AGREE
031MCsTCEKnN37VA8AgP3x-451,750cehlxslg6mm1z-255,AGREE
031MCsTCEKnN37VA8AgP3x-451,7ln23y30ysxpnngh-207,AGREE
031MCsTCEKnN37VA8AgP3x-451,8hyexf7jxjn6fokz-435,AGREE
031MCsTCEKnN37VA8AgP3x-451,8riec4d145bm1enf-208,AGREE
031MCsTCEKnN37VA8AgP3x-451,9kwv08hhxfgcaqvk-74,DISAGREE
031MCsTCEKnN37VA8AgP3x-451,a7tz0yncxll4zklo-29,AGREE
031MCsTCEKnN37VA8AgP3x-451,afeyuhz1gv0e38da-52,AGREE
031MCsTCEKnN37VA8AgP3x-451,asifpwioxd9css9t-221,AGREE
031MCsTCEKnN37VA8AgP3x-451,chj755nf4zw9xa3k-16,AGREE
031MCsTCEKnN37VA8AgP3x-451,cvs4f8cgvyie6ivw-14,AGREE
031MCsTCEKnN37VA8AgP3x-451,cwi64ciyhe7ur23g-10,AGREE
031MCsTCEKnN37VA8AgP3x-451,dppq0y9dom5igqpk-11,AGREE
031MCsTCEKnN37VA8AgP3x-451,flul1rsrla8s8hmb-241,AGREE
031MCsTCEKnN37VA8AgP3x-451,g2qzw3c1qkbhb7s9-224,AGREE
031MCsTCEKnN37VA8AgP3x-451,h2m5zja8dzr1yxr2-66,AGREE
031MCsTCEKnN37VA8AgP3x-451,i9nb74x2ek3zezqa-213,AGREE
031MCsTCEKnN37VA8AgP3x-451,izzqy72wx7ptx63c-76,AGREE
031MCsTCEKnN37VA8AgP3x-451,j49itn7s55j2o7s3-109,AGREE
031MCsTCEKnN37VA8AgP3x-451,jja26yfpmvxpj4hn-123,AGREE
031MCsTCEKnN37VA8AgP3x-451,k0axycelos6zle6k-275,AGREE
031MCsTCEKnN37VA8AgP3x-451,k9tr74qgefqjg02u-269,AGREE
031MCsTCEKnN37VA8AgP3x-451,pht0hl9xpseimvih-9,AGREE
031MCsTCEKnN37VA8AgP3x-451,pja1wj0tpac56t4u-18,AGREE
031MCsTCEKnN37VA8AgP3x-451,pvs7hzioykl1cq99-15,AGREE
031MCsTCEKnN37VA8AgP3x-451,trp0j43d5iqvnb4g-61,AGREE
031MCsTCEKnN37VA8AgP3x-451,wnnhj7xvg0fn9xuy-3,AGREE
031MCsTCEKnN37VA8AgP3x-451,x7eedtjvzhwjr64d-17,AGREE
031MCsTCEKnN37VA8AgP3x-451,xaji0y6dpbhsahxt-0,AGREE
03IR758N9XYWl6ccJOfJWB-199,0dk0get8t63j3r30-131,AGREE
03IR758N9XYWl6ccJOfJWB-199,15z8vmuhxid4n1u3-183,AGREE
03IR758N9XYWl6ccJOfJWB-199,3ifhv1xg1r11q7uw-195,AGREE
03IR758N9XYWl6ccJOfJWB-199,493wxa73jgzlma5u-186,AGREE
03IR758N9XYWl6ccJOfJWB-199,4ivsolmlgses6m03-194,AGREE
03IR758N9XYWl6ccJOfJWB-199,53lc58drc11ertj5-8,AGREE
03IR758N9XYWl6ccJOfJWB-199,7e8g8jdp0lvsnujz-24,AGREE
03IR758N9XYWl6ccJOfJWB-199,9kwv08hhxfgcaqvk-74,AGREE
03IR758N9XYWl6ccJOfJWB-199,9tze5r5uqpgb7r3o-70,AGREE
03IR758N9XYWl6ccJOfJWB-199,a7tz0yncxll4zklo-29,AGREE
03IR758N9XYWl6ccJOfJWB-199,afeyuhz1gv0e38da-52,AGREE
03IR758N9XYWl6ccJOfJWB-199,akhejla0gnzs43c5-190,AGREE
03IR758N9XYWl6ccJOfJWB-199,ba75uuzpeal2w37d-191,AGREE
03IR758N9XYWl6ccJOfJWB-199,chj755nf4zw9xa3k-16,AGREE
03IR758N9XYWl6ccJOfJWB-199,cvs4f8cgvyie6ivw-14,AGREE
03IR758N9XYWl6ccJOfJWB-199,cwi64ciyhe7ur23g-10,AGREE
03IR758N9XYWl6ccJOfJWB-199,dppq0y9dom5igqpk-11,AGREE
03IR758N9XYWl6ccJOfJWB-199,e9vifttd96qe3rzs-108,AGREE
03IR758N9XYWl6ccJOfJWB-199,g8sbi4q2y9v86wzs-35,AGREE
03IR758N9XYWl6ccJOfJWB-199,i3qk2iagl58kxo9t-23,AGREE
03IR758N9XYWl6ccJOfJWB-199,i7p5tb94874frhoc-12,AGREE
03IR758N9XYWl6ccJOfJWB-199,ir4cowgzrixa11dp-32,AGREE
03IR758N9XYWl6ccJOfJWB-199,izzqy72wx7ptx63c-76,AGREE
03IR758N9XYWl6ccJOfJWB-199,j49itn7s55j2o7s3-109,AGREE
03IR758N9XYWl6ccJOfJWB-199,me8f840982n2atqy-132,AGREE
03IR758N9XYWl6ccJOfJWB-199,n9j2qp89uzfk8ut0-13,AGREE
03IR758N9XYWl6ccJOfJWB-199,nf7c3dd03uvulemx-182,AGREE
03IR758N9XYWl6ccJOfJWB-199,ofwb0hpmnz1udbfw-187,AGREE
03IR758N9XYWl6ccJOfJWB-199,os9xtogn1w1ht7pz-83,DISAGREE
03IR758N9XYWl6ccJOfJWB-199,pvs7hzioykl1cq99-15,AGREE
03IR758N9XYWl6ccJOfJWB-199,riuu9k9xjuy0bvr6-129,AGREE
03IR758N9XYWl6ccJOfJWB-199,ro8bnp84dyt9moge-149,AGREE
03IR758N9XYWl6ccJOfJWB-199,sq0oxfq8myx444nl-117,AGREE
03IR758N9XYWl6ccJOfJWB-199,t1ghr09skdgigatj-68,AGREE
03IR758N9XYWl6ccJOfJWB-199,trp0j43d5iqvnb4g-61,AGREE
03IR758N9XYWl6ccJOfJWB-199,ujv6oh9sdbdw2pcn-5,AGREE
03IR758N9XYWl6ccJOfJWB-199,x7eedtjvzhwjr64d-17,AGREE
03IR758N9XYWl6ccJOfJWB-199,xaji0y6dpbhsahxt-0,AGREE
03IR758N9XYWl6ccJOfJWB-199,yjxrpj1epkyrybov-188,AGREE
03IR758N9XYWl6ccJOfJWB-199,yv37dia5u6hc36ko-136,AGREE
03IR758N9XYWl6ccJOfJWB-199,z15bcw790pdw5py6-118,AGREE
03pRYW3dVV7BgKYtJdkhz0-977,049enulqjidknwi5-240,AGREE
03pRYW3dVV7BgKYtJdkhz0-977,06nkwfg3mwu4cfil-890,DISAGREE
03pRYW3dVV7BgKYtJdkhz0-977,2ygnmby49e7eobjl-672,DISAGREE
03pRYW3dVV7BgKYtJdkhz0-977,3jczucqmrunjdu0i-463,DISAGREE
03pRYW3dVV7BgKYtJdkhz0-977,3p91i3vmzwffhhcm-395,AGREE
03pRYW3dVV7BgKYtJdkhz0-977,3pt5r5rc6zs62ywe-538,PASS
03pRYW3dVV7BgKYtJdkhz0-977,3zkwdeekgyspengw-381,PASS
03pRYW3dVV7BgKYtJdkhz0-977,45bg34iq7zj3sweb-565,AGREE
03pRYW3dVV7BgKYtJdkhz0-977,4n89qkns832ejx5t-211,AGREE
03pRYW3dVV7BgKYtJdkhz0-977,4wsqt26q3xlrfcd6-198,DISAGREE
03pRYW3dVV7BgKYtJdkhz0-977,5935a0l7253j2d54-20,DISAGREE
03pRYW3dVV7BgKYtJdkhz0-977,6g5g79or7875aud9-268,DISAGREE
03pRYW3dVV7BgKYtJdkhz0-977,6khub2rtsoyg9zqy-879,AGREE
03pRYW3dVV7BgKYtJdkhz0-977,6qdy4lmct64z7w2s-233,AGREE
03pRYW3dVV7BgKYtJdkhz0-977,6ys445gdej31gymd-579,DISAGREE
03pRYW3dVV7BgKYtJdkhz0-977,7e8g8jdp0lvsnujz-24,AGREE
03pRYW3dVV7BgKYtJdkhz0-977,9boq0iq2fa39e3nw-480,DISAGREE
03pRYW3dVV7BgKYtJdkhz0-977,a7tz0yncxll4zklo-29,DISAGREE
03pRYW3dVV7BgKYtJdkhz0-977,afeyuhz1gv0e38da-52,PASS
03pRYW3dVV7BgKYtJdkhz0-977,asifpwioxd9css9t-221,PASS
03pRYW3dVV7BgKYtJdkhz0-977,asnwywrratatj9a3-305,AGREE
03pRYW3dVV7BgKYtJdkhz0-977,cj4t0sekkbp2qd6v-216,AGREE
03pRYW3dVV7BgKYtJdkhz0-977,cnbh6nqqb9lzs34j-807,AGREE
03pRYW3dVV7BgKYtJdkhz0-977,cvs4f8cgvyie6ivw-14,PASS
03pRYW3dVV7BgKYtJdkhz0-977,cwbfuk9e1v2isqp4-73,PASS
03pRYW3dVV7BgKYtJdkhz0-977,dppq0y9dom5igqpk-11,PASS
03pRYW3dVV7BgKYtJdkhz0-977,eaxylnfxj4pnjy1o-837,PASS
03pRYW3dVV7BgKYtJdkhz0-977,edhhjshzkbrh7lay-628,DISAGREE
03pRYW3dVV7BgKYtJdkhz0-977,f0onjpi163yk03o4-914,AGREE
03pRYW3dVV7BgKYtJdkhz0-977,flul1rsrla8s8hmb-241,DISAGREE
03pRYW3dVV7BgKYtJdkhz0-977,fxhkc856wpr97y2l-285,DISAGREE
03pRYW3dVV7BgKYtJdkhz0-977,gzr7txcb48y1o4iz-300,AGREE
03pRYW3dVV7BgKYtJdkhz0-977,i7p5tb94874frhoc-12,DISAGREE
03pRYW3dVV7BgKYtJdkhz0-977,i9nb74x2ek3zezqa-213,AGREE
03pRYW3dVV7BgKYtJdkhz0-977,ie0rnujjq9k6re4q-232,DISAGREE
03pRYW3dVV7BgKYtJdkhz0-977,k2vmwwyzx4w6xlpu-130,DISAGREE
03pRYW3dVV7BgKYtJdkhz0-977,kkv9rftmttqlgzui-115,AGREE
03pRYW3dVV7BgKYtJdkhz0-977,ktlzkj49yd82795e-410,DISAGREE
03pRYW3dVV7BgKYtJdkhz0-977,kwe4bx4lr9tjq8zg-901,AGREE
03pRYW3dVV7BgKYtJdkhz0-977,li076a3kkrzd5e9p-555,PASS
03pRYW3dVV7BgKYtJdkhz0-977,ljefy3zb4ldimsyj-476,PASS
03pRYW3dVV7BgKYtJdkhz0-977,mb5m9j98cwn2y8fv-228,PASS
03pRYW3dVV7BgKYtJdkhz0-977,me8f840982n2atqy-132,DISAGREE
03pRYW3dVV7BgKYtJdkhz0-977,mzsgippsfnkomv2x-199,PASS
03pRYW3dVV7BgKYtJdkhz0-977,nal3gywiymenvg3k-598,AGREE
